abandon                                 放弃、禁止、不准、遗弃
devote                                  献身于、致力于
die                                     死
dig                                     挖
direct                                  指向、直接、面向、对准、指导
directory                               目录
disappoint                              使失望、使扫兴
discover                                发掘、探索、发现
discuss                                 讨论
disk                                    磁盘；盘；硬盘
dispose                                 处置、处理
distinguish                             区别、区分
draw                                    画画
drink                                   喝
drive                                   驾驶
drop                                    滴、掉下
due                                     归因于、由于、因为
due-to                                  归因于；因为
dynamic                                 动态的
earn                                    赚得、获得
eat                                     吃
edit                                    编辑
effect                                  效果、作用、产生
elapse                                  流逝、逝去、消逝
eliminate                               排除、清除、消除、淘汰、干掉
emit                                    发出、射出、散发
empty                                   空的、空洞的、空虚的、无意义的
encode                                  编码
encounter                               遇到、遭遇
encourage                               鼓励
end                                     结束、结尾
ensure                                  确保；保证
equal                                   等于
error                                   错误
escape                                  逃离
evaluate                                求值
examine                                 检查
example                                 例子
except                                  除..之外
exchange                                交易、交换
exclude                                 不包括、排除掉
execute                                 执行、运行
exist                                   存在
exit                                    出口;退出;
expand                                  扩充
expect                                  期望；期待
expend                                  扩大；增加；增强；扩展
explain                                 解释、说明、阐述
explode                                 爆炸
export                                  导出
express                                 表达、表示
expression                              表达式
extend                                  延伸、扩充、延长、扩展
extract                                 提取、提炼、摘录
fail                                    失败
fall                                    落下
fasten                                  系紧
feed                                    喂
feel                                    感到、感觉
fetch                                   获取、获得、取
fight                                   打架
file                                    文件
finish                                  完成
flash                                   闪光，闪
float                                   浮动、浮点数
flod                                    折叠
flow                                    流、流动
flush                                   冲刷、刷新
fly                                     飞
follow                                  跟随
forbid                                  禁止
forget                                  忘记
forgive                                 原谅
free                                    释放、空闲、免费
function                                函数、功能
gather                                  聚集
generate                                生成、产生
get                                     得到、获得、拿、取
give                                    给
global                                  全局的
greater                                 大于
grow                                    成长、生长
guarantee                               保证、保障
guide                                   向导、指引
handle                                  处理、句柄
hang                                    悬挂、吊
hate                                    恨
have                                    有;吃
header                                  头部的、头部
heap                                    堆
hear                                    听见
hence                                   因此
hide                                    藏
hit                                     打、撞
hold                                    抓住，持有
hurt                                    伤害
identify                                标识、识别
ignore                                  忽略、忽视
illustrate                              说明、用图表解释、显示
image                                   形象；印象；图片
imagine                                 想象；设想
implement                               实现
import                                  导入
improve                                 提升、提高
include                                 包括
incorporate                             合并、包含、吸收、将..包括在内
increase                                增长，增加
increment                               增加
indicate                                预示、标示
inform                                  通知、知会、告知（动词）
information                             信息；消息（名词）
initial                                 初始的
initialize                              初始化
input                                   输入
insert                                  插入
insist                                  坚持
install                                 安装
interrupt                               打断、中断
introduce                               介绍
involve                                 涉及、包含、牵涉、需要、影响
isolate                                 隔离、孤立、脱离
join                                    参加、加入
keep                                    保持
key                                     键、关键、钥匙
kill                                    杀
knock                                   敲
know                                    认识、知道
lack                                    缺乏
laugh                                   嘲笑
launch                                  发射、启动
lay                                     放置
lead                                    带路、领着
learn                                   学习
leave                                   离开
left                                    离开、左
less                                    小于
let                                     让
library                                 库，仓库、图书馆
lie                                     躺
light                                   点亮
limit                                   限制、极限
link                                    链接、连接
list                                    列表
listen                                  听
load                                    加载、载入
local                                   局部、当地、本地
locate                                  定位
location                                位置（名词）
loop                                    循环
lose                                    失去
maintain                                维护
make                                    制造、使得、做
manage                                  管理
manager                                 管理器；经理
manipulate                              操作、操纵
map                                     地图、映射
marry                                   结婚
mask                                    掩盖、面具、口罩
master                                  掌握、精通、硕士
may                                     可以
mean                                    意思是、意味着..什么
meet                                    遇见、相遇
member                                  成员
memory                                  内存
merge                                   合并、合在一起
method                                  方法，函数
might                                   也许、或许
mistake                                 误解
mix                                     混合
mode                                    模式
modify                                  修改
monitor                                 监控;班长
move                                    移动
murder                                  谋杀
must                                    必须
need                                    需要
notice                                  通知;通告
notification                            通知（名词）
null                                    无效的、零值的，空的
number                                  数字
obey                                    服从
object                                  对象
observe                                 观察
obtain                                  获得、获取
occupy                                  占据、占领
occur                                   发生、出现、存在于
operate                                 操作、手术
operator                                操作符
optimize                                优化、改进
order                                   命令、顺序
otherwise                               否则
output                                  输出
overcome                                克服
own                                     拥有、自己的
pack                                    包装、打包
page                                    页、页面
parameter                               参数（形参）
pass                                    通过、走过、及格
paste                                   粘贴
pay                                     付钱
perform                                 执行；执行; 履行; 演出; 做; 工作
permit                                  准许、批准
pick                                    挑选；选择；摘出
place                                   放置、摆放
plus                                    加、加法
point                                   点，指向
pointer                                 指针
pop                                     弹出
pose                                    摆姿势
post                                    邮递、投递、发布
prepare                                 准备
press                                   压、按压
pretend                                 假装
prevent                                 阻止、防止
private                                 私有的
process                                 处理
produce                                 生产、生成、产生
program                                 程序
promise                                 承诺、保证
promote                                 提升、促进、升职
property                                属性
protect                                 保护
prove                                   证明、证实
provide                                 提供
public                                  公开的，公开
publish                                 发布、出版
pull                                    拉
punish                                  惩罚
push                                    推
put                                     放
query                                   查询；询问
quit                                    退出、辞职
raise                                   提高
range                                   范围
reach                                   到达
read                                    读
realize                                 意识到
rebuild                                 重建
recall                                  回忆、回顾
receive                                 接收、收到
recognize                               认识、认知到
recommend                               推荐、建议
record                                  记录
recorder                                记录器；录音机；记录仪
recover                                 恢复
reduce                                  减小、缩小（尺寸、数量、价格等）
refer                                   参考、引用、涉及
reference                               引用、参考
refuse                                  拒绝
register                                注册
relax                                   放松
release                                 释放
remain                                  依然
remember                                记得
remind                                  提醒
remove                                  移除
repair                                  修理、维修
replace                                 替换、替代
reply                                   答复
report                                  报告
represent                               代表、表示
request                                 请求
require                                 需要；依靠；依赖
rescue                                  拯救、营救
respect                                 尊重
respond                                 回应、响应
response                                回应、响应
resume                                  重启、重新开始、恢复执行、概要
retire                                  退休
return                                  返回
reverse                                 反转、倒转
review                                  复习、评论
revise                                  修订
ride                                    骑
ring                                    响铃、环
rise                                    上升
rule                                    规则、纪律
run                                     运行、跑
satisfy                                 满足；使满足
save                                    保存、存盘
say                                     说
scan                                    扫描、扫码
scope                                   范围
search                                  搜索
see                                     看见
seek                                    寻求
seem                                    看起来像；似乎；好像
select                                  选择
sell                                    卖
send                                    发送、递送
seperate                                分开、区分、独立
serve                                   服务（动词）、提供
server                                  服务器
service                                 服务（名词）
set                                     设置、集合
setting                                 设置（名词）
setup                                   设置、安装、体制
shake                                   摇
share                                   分享
shift                                   替换、转移
shine                                   照耀、闪光
shoot                                   射击
shout                                   喊叫
show                                    显示、展示
shuffle                                 洗牌、打乱
shut                                    关上
signal                                  信号
simply                                  简化
sing                                    唱
sink                                    下沉
sit                                     坐下
size                                    大小、尺寸
skip                                    跳过、略过
sleep                                   睡觉
smell                                   闻
smile                                   微笑
smoke                                   抽烟（动词）
solve                                   解决、处理、解答、破解
sort                                    排序
sound                                   听起来；声音
source                                  源、源码、来源
speak                                   说
specification                           规范（名词）
specify                                 指定
speed                                   加速
spell                                   拼写
spend                                   花费
split                                   分开、划分
stack                                   栈
stanard                                 标准、标准的
stand                                   站立
start                                   开始、启动
statement                               语句
static                                  静态的
steal                                   偷
stick                                   粘贴
stop                                    停止
storage                                 存储
store                                   存储、保存、商店
stream                                  流
string                                  字符串
struct                                  结构
subtract                                减、减法
suggest                                 建议（动词）
suggestion                              建议（名词）
supply                                  补给、供给
support                                 支持
suppose                                 假设、假定、认为、推定
suspend                                 暂停
swap                                    交换，互换
swear                                   发誓
sweep                                   打扫
swim                                    游泳
switch                                  切换、开关
take                                    带、携带
talk                                    交谈
taste                                   尝起来
teach                                   教
tell                                    告诉
terminate                               终止、结束
test                                    测试
than                                    比较
think                                   思考、认为
throw                                   抛、扔
time                                    时间
touch                                   碰、触碰
trace                                   跟踪、追踪
trade                                   交易
train                                   训练、锻炼
transfer                                转换；转变；换乘
translate                               翻译
treat                                   对待、治疗
trust                                   相信、信任
type                                    类型
understand                              理解
unpack                                  解包
update                                  更新
upset                                   使心烦
use                                     使用
utility                                 程式、实用程序
value                                   值、价值
variable                                变量
via                                     通过，经由，凭借
wait                                    等待
wake                                    醒来
warning                                 警告
wash                                    冲洗、洗刷
waste                                   浪费
watch                                   观看
wear                                    穿
win                                     赢
write                                   写
