arm	手臂
strong	强大的
reporter	记者
several	几个
sofa	沙发
student	学生
rest	休息
shake	摇
soil	土壤
study	研究
restaurant	餐厅
share	分享
soldier	士兵
subject	主题
retired	退休
shark	鲨鱼
subway	地铁
some	一些
return	返回
sharpener	卷笔刀
sometimes	有时
sugar	糖
rice	大米
she	她
suit	西装
son	儿子
ride	骑
sheep	羊
song	首歌
summer	夏天
right	正确的
shelf	架子上
soon	很快
sun	太阳
ring	环
shine	发光
Sunday	周日
ship	船
sorry	对不起
river	河
sound	声音
sunny	阳光明媚的
road	路
shirt	衬衫
soup	汤
sunshine	阳光
robot	机器人
shoe	鞋
shop	商店
sour	酸
supermarket	超市
room	房间
round	轮
short	短
south	南
supper	晚餐
rule	规则
shorts	短裤
space	空间
sure	确定
ruler	统治者
should	应该
spaceship	宇宙飞船
surprise	惊喜
run	运行
shoulder	肩膀
speak	说话
sweater	毛衣
S	年代
show	显示
special	特殊的
sweep	扫描
sad	悲伤的
shy	害羞的
spoon	勺子
sweet	甜蜜的
salesperson	销售人员
sing	唱
sport	体育运动
swim	游泳
salt	盐
sister	妹妹
spring	春天
swing	摇摆不定的
same	相同
sit	坐
square	广场
sandal	凉鞋
six	六个
squid	鱿鱼
table	表格
sandwich	三明治
sixteen	十六岁
squirrel	松鼠
tail	尾巴
Saturday	周六
size	大小
stairs	楼梯
take	取
sausage	香肠
skate	滑冰
stamp	邮票
talk	说话
nut	螺母
piano	钢琴
love	爱
morning	早....
lovely	可爱的
mother	妈妈。
pick	选择
Mother's Day	母亲节
o'clock	点
picnic	野餐
low	低
motorbike	摩托车
October	10月
picture	图片
lucky	幸运的
mountain	山
off	从
pie	派
lunch	午餐
office	办公室
pig	猪
M	米
mouse	鼠标
pilot	飞行员
mouth	口
often	经常
magazine	杂志
old	老
pineapple	菠萝
make	使
Mr	先生
pink	粉红色的
Mrs	夫人
on	在
man	男人。
Ms	女士
place	的地方
one	一个
mango	芒果
plane	飞机
much	多
onion	洋葱
manners	礼仪
only	只有
plant	植物
many	许多
multiply	乘
plate	板
museum	博物馆
open	开放
map	地图
play	玩
March	3月
music	音乐
or	或
mutton	羊肉
orange	橙色
playground	操场上
market	市场
other	其他
please	请
math	数学
N	N
Over	在
plus	+
matter	事
name	的名字
P.M.	点
IMO	国际海事组织
May	五月
nature	自然
P	P
pocket	口袋里
may	五月
naughty	淘气的
poet	诗人
meal	餐
near	附近
paint	油漆
point	点
mean	的意思是
neighbour	邻居
pan	锅
policeman	警察
meat	肉
neither	既不
panda	熊猫
pork	猪肉
medicine	医学
nest	巢
pants	裤子
post	帖子
meet	满足
new	新
parent	父
park	公园
postcard	明信片
member	成员
New Year's Day	新年的第一天
postman	邮递员
menu	菜单
parrot	鹦鹉
party	聚会，派对
potato	土豆
message	消息
newspaper	报纸
prefer	更喜欢
middle	中间
nice	不错的
pass	通过
path	路径
prepare	准备
milk	牛奶
night	晚上
P.E.	体育
present	现在
million	几百万
nine	九个
pea	豌豆
president	总统
minus	-
nineteen	19
peach	桃子
pretty	漂亮的
minute	一分钟
no	没有
peanut	花生
principal	主要
mirror	镜子
none	没有一个
noodle	面条
pear	梨
programme	计划
Miss	小姐
pen	笔
proud	骄傲
miss	小姐
noon	中午
pen friend	笔友
pupil	学生
mistake	错误
north	北
pencil	铅笔
Kddnd	Kddnd
model	模型
nose	鼻子
pencil box	铅笔盒
purple	紫色的
notebook	笔记本
Monday	周一
people	人
put	把
money	钱
November	11月
percent	百分比
Q	问
monkey	猴子
now	现在
pet	宠物
month	月
number	数量
photo	照片
quarter	季度
question	问题
moon	月亮
nurse	护士
physics	物理
quiet	安静的
four	四个
grey	灰色
house	房子
kid	孩子
fourteen	14
guess	猜一猜
how	如何
kind	种类
fox	狐狸
guest	客人
however	然而
king	王
France	法国
guide	指南
hundred	几百
kitchen	厨房
fresh	新鲜的
guitar	吉他
hungry	饿了
kite	风筝
Friday	星期五
gym	健身房
hurry	快点
knife	刀
fridge	冰箱
H	H
hurt	伤害
know	知道
friend	朋友
hair	头发
husband	丈夫
L	l
frog	青蛙
Halloween	万圣节
I	我
lady	夫人
from	从
hamburger	汉堡
lake	湖
fruit	水果
hand	手
ice	冰
lamb	羊肉
－	－
full	完整的
happen	发生
ice cream	冰淇淋
lamp	灯
fun	有趣的
happy	快乐
idea	的想法
language	语言
funny	有趣的
hard	硬
if	如果
large	大
G	G
hat	帽子
ill	生病了
last	去年
game	游戏
have	有
in	在
late	晚些时候
garden	花园
he	他
India	印度
laugh	笑
general	一般
head	头
information	信息
lawyer	律师
get	得到
headache	头疼
insect	昆虫
learn	学习
gift	礼物
hear	听到
inside	内部
leave	离开
ginger	姜
heat	热
interest	感兴趣
left	左
giraffe	长颈鹿
heavy	重
interview	面试
leg	腿
girl	女孩
helicopter	直升机
it	它
lemon	柠檬
give	给
hello	你好
J	J
lesson	教训
glass	玻璃
help	帮助
let	让
glove	手套
hen	母鸡
letter	信
jacket	夹克
go	去
here	在这里
library	图书馆
jam	果酱
goal	目标
hi	嗨
life	生活
January	1月
goalkeeper	守门员
high	高
light	光
Japan	日本
goat	山羊
hike	徒步旅行
jeans	牛仔裤
ike	艾克
line	行
golden	金
history	历史
jigsaw	拼图
golf	高尔夫球
hobby	爱好
job	工作
lion	狮子
good	好
hold	持有
list	列表
joke	笑话
goodbye	再见
holiday	假期
juice	汁
listen	听
goose	鹅
home	首页
July	7月
little	小
grandfather	祖父
homework	家庭作业
jump	跳
live	生活
grandmother	祖母
hop	跳
just	只是
June	6月
lobster	龙虾
grandparent	祖父母
hope	希望
K	K
long	长
lock	锁
grape	葡萄
horse	马
look	看
grass	草
hospital	医院
kangaroo	袋鼠
great	伟大的
hot	热
key	关键
lorry	卡车
green	绿色
hour	小时
kick	踢
lose	失去
white	白色
tall	高
timetable	时间表
up	向上
who	谁
tired	累了
use	使用
whose	谁的
taste	味道
taxi	出租车
to	来
useful	有用的
why	为什么
usually	通常
tea	茶
today	今天
wife	妻子
V	V
teach	教
tofu	豆腐
win	赢得
teacher	老师
toilet	厕所。。。
Valentine's Day140	情人节Day140
wind	风
tomato	番茄
vase	花瓶
window	窗口
Teachers' Day	教师节
team	团队
tomorrow	明天
vegetable	蔬菜
windy	多风的
tongue	舌头
vest	背心
telephone	电话
wine	酒
ten	十个
tonight	今晚
village	村
winter	冬天
tennis	网球
too	太
violin	小提琴
wish	希望
terrible	可怕的
toothbrush	牙刷
visit	访问
with	与
test	测试
total	总计
visitor	游客
tour	之旅
wolf	狼
than	比
volleyball	排球
town	小镇
woman	女人
thank	谢谢
W	W
Thanksgiving Day	感恩节
toy	玩具
wonderful	美妙的
tractor	拖拉机
wait	等待
wood	木
traffic	交通
waiter	服务员
word	词
that	那
train	火车
wake	之后
work	工作
the	的
the Dragon	龙
Boat	船
trash	垃圾
walk	走
worker	工人
Festival	节日
travel	旅行
want	想要
world	世界
the Spring Festival	春节
tree	树
warm	温暖的
worry	担心
trip	旅行
wash	洗
wrestle	摔跤
theatre	剧院
trousers	裤子
washroom	卫生间
write	写
theme	主题
truck	卡车
watch	看
wrong	错误的
then	然后
trumpet	小号
water	水
Y	Y
there	在那里
trunk	树干
watermelon	西瓜
try	试一试
way	道路
year	一年
these	这些
T-shirt	t恤
we	我们
yellow	黄色的
they	他们
thin	薄
Tuesday	周二
wear	穿
yesterday	昨天
thing	事情
turn	转
weather	天气
you	你
think	认为
TV	电视
Wednesday	周三
young	年轻的
third	第三
twelve	十二个
week	周
Yo-Yo	溜溜球
thirteen	13
twenty	二十
weekend	周末
yummy	美味的
this	这
two	两个
well	好吧
those	那些
west	西
zebra	斑马
thousand	千
umbrella	伞
wet	湿
zero	零
three	三个
uncle	叔叔
whale	鲸鱼
ZOO	动物园
Thursday	周四
under	下
what	什么
tie	领带
understand	理解
when	当
tiger	老虎
uniform	统一的
where	在哪里
time	时间
university	大学
which	哪一个
