abstract                                抽象
key                                     键、关键、钥匙
lack                                    缺少；缺乏
launch                                  发射；发起；发动；启动
less                                    小于<
library                                 库，仓库、图书馆
link                                    链接、连接
list                                    列表
local                                   局部、当地、本地
locate                                  定位（动词）；查找
location                                位置（名词）；定位（名词）
log                                     日志；日记
logic                                   逻辑；逻辑的
lookup                                  查找；检查
loop                                    循环
manage                                  管理
manner                                  方法；方式；举止；行为
measure                                 测量；度量
member                                  成员
memory                                  内存
method                                  方法，函数
mode                                    模式
modify                                  修改；变更
multiple                                多个的；多数的；倍数的；多种多样的
negative                                负数
node                                    节点；结点
note                                    注意；笔记；备忘录
null                                    无效的、零值的，空的
number                                  数字
object                                  对象
obtain                                  获得；获取
occur                                   发生；出现（动词）
occurrence                              发生；出现（名词）
operate                                 操作、手术
operation                               操作（名词）
operator                                操作符
opportunity                             机会
optimize                                优化；提升
option                                  选项
order                                   顺序；命令；肃静
organization                            组织（名词）
organize                                组织（动词）
original                                起初的; 原来的; 最早的; 首创的; 独创的
over                                    超过；在...上
overflow                                溢出；过多而溢出；超载
own                                     自己的；拥有
page                                    页、页面
parallel                                并行的；并列的
parameter                               参数（形参）
part                                    部分；片段
pass                                    通过、走过、及格
paste                                   粘贴
pattern                                 范例; 典范; 榜样; 样板; 花样; 式样
perform                                 执行；执行; 履行; 演出; 做; 工作
pick                                    挑选；选择；摘出
piece                                   一片；一小片；一小块
point                                   点，指向
pointer                                 指针
portion                                 部分; (食物的)一份，一客; 分享的部分; 分担的责任
precede                                 之前；领先；在…之前；优于；高于
private                                 私有的
process                                 处理
produce                                 产生；生成
program                                 程序
provide                                 提供
public                                  公开的，公开
pure                                    纯的；纯粹的
query                                   查询；询问
range                                   范围；区间;
read                                    读
readable                                可读的；容易读的
recommend                               推荐
reduce                                  减小、缩小（尺寸、数量、价格等）
release                                 释放；放松
rely-on                                 依赖；依靠
require                                 需要；依靠；依赖
respect                                 尊重；敬重
respective                              各自的；分别的
restart                                 重新启动
restrict                                限制；限定；束缚；约束
retain                                  保留
return                                  返回
routine                                 例程；常规的；日常的；例行程序
rule                                    规则、纪律
run                                     运行、跑
satisfy                                 满足；使满足
save                                    保存、存盘
scope                                   范围
screen                                  屏幕
section                                 节；部分
security                                安全
seem                                    看起来像；似乎；好像
segment                                 片段；段
seperate                                单独的；独自的
sequence                                顺序的；依次的
set                                     集合
setting                                 设置（名词）
shake                                   摇
share                                   共享、分享
shift                                   替换、转移
shine                                   照耀、闪光
shoot                                   射击
shout                                   喊叫
show                                    显示、展示
shut                                    关上
signal                                  信号
signature                               签名
silent                                  沉默的；默不作声的
similar                                 相似的；相近的
single                                  单一的；单个的
size                                    大小、尺寸
source                                  来源；源
space                                   空间；空格
specify                                 指定；具体说明
split                                   切分；划分；分开
standard                                标准；标准的；规范的
statement                               语句
static                                  静态的
storage                                 存储
store                                   保存、存储、商店
stream                                  流
string                                  字符串
struct                                  结构
subsequent                              随后的；下面的；之后的；接后的；后来的
supply                                  提供；供应；供给
support                                 支持
terminate                               终止；结束
test                                    测试
than                                    比较
the-following                           接下来的；下列的
the-preceding                           之前的；上述的；前面提到的
thus                                    因此；所以；从而
time                                    时间
touch                                   触摸；碰触
transfer                                转换；转变；换乘
translate                               翻译
type                                    类型
typical                                 典型的
underlying                              下层的；底层的；根本的
unique                                  唯一的；唯独的
unit                                    单元；单位
utility                                 实用程序；公用程序；公共事业
valid                                   有效的
value                                   值、价值
variable                                变量
warning                                 警告
write                                   写
