April           四月         
fantastic       魔幻的      
far             远的         
farm            农场         
farmer          农民         
fast            快的         
fasten          系紧         
fat             胖            
father          爸爸         
favorite        最喜欢的   
feed            喂            
feel            感到         
fellow          跟随         
festival        节日         
fetch           获取、获得、取
fever           发烧、发热
field           领域         
fifteen         15             
fight           打架、战斗
fill            填充         
film            电影         
finally         最终         
find            查找         
finger          手指         
finish          完成         
finqlly         最后，终于
first           第一         
fish            鱼            
five            5              
flag            旗帜、标记
flame           火焰         
flash           闪光，闪   
float           漂浮、浮点数
floor           地板         
flow            流、流动   
flower          花、花朵   
flu             流感         
flush           冲刷         
fly             飞            
follow          跟随         
foot            足、脚      
football        足球         
for             为了、持续一段时间
forbid          禁止         
forest          森林         
forever         永远，不断地，常常
forget          忘记         
forgive         原谅         
fork            叉子         
form            表格         
formal          正式的、正装
four            4              
fourteen        14             
france          法国         
frequently      频繁地，时常，屡次
fresh           新鲜         
friday          星期五      
fridge          冰箱         
friend          朋友         
frog            青蛙         
from            从..来，源自..
front           前面         
fruit           水果         
full            满、饱的   
fun             有趣的、乐趣
function        函数         
game            游戏         
garden          花园         
gather          聚集         
general         将军         
get             得到         
gift            礼物         
give            给            
glad            高兴的      
glasses         眼镜         
goal            目标、球门
goat            山羊         
gold            金、金的   
golden          金色的      
grandfather     爷爷         
grandmother     奶奶         
grass           草            
great           巨大的伟大的极好的
green           绿色         
grey            灰色         
ground          地面         
group           组            
grow            成长、生长
guess           猜测         
guest           客人         
guide           导游、向导
gym             体育馆      
had             拥有（have的过去式和过去分词）
hair            头发         
hand            手            
handle          处理         
hang            悬挂、吊   
happen          发生         
hard            努力、困难、硬的
has             有，吃，得到，从事，允许
have            有            
he              他            
head            头            
headache        头疼         
hear            听见         
heavy           重的         
height          高            
held            举办、拿着、持有
help            帮助         
helpful         有帮助的   
hence           因此         
her             她            
here            这里         
herself         她自己      
hide            藏            
high            高的、高级的
hike            远足、徒步旅行
hill            小山         
his             他的         
history         历史         
hit             打、撞      
hobby           爱好         
hold            拿住         
hole            洞            
holiday         假期         
home            家            
homework        家庭作业   
honour          纪念、荣耀
hope            希望         
horse           马            
hospital        医院         
host            主办         
hot             热的         
hotel           旅馆         
house           房子         
how             怎么、如何
however         然后，不过、但是
huge            巨大的      
hundred         百            
hungry          饿的         
hurry           赶紧，匆忙
hurt            受伤、伤害
husband         丈夫         
ice             冰            
idea            主意、想法
if              如果，要是，假如
ill             有病的、生病的
image           想象         
immediatly      立即，立刻
important       重要的      
improve         提升         
in              在..里面    
include         包含         
increase        增加         
india           印度         
information     信息         
inner           内部的，内心的，精神的
insect          昆虫         
inside          在里面      
insist          坚持         
instead         替代         
interest        兴趣         
interested      感兴趣      
interesting     有趣的      
international   国际的      
interveiew      面试，面谈
introduce       介绍         
invent          发明（动词）
invention       发明（名词）
it              【指无生命的东西动物、植物】它，这，那
its             它的         
japan           日本         
job             工作、职业
join            参加         
joke            笑话         
jump            跳            
just            刚刚         
keep            保持         
kick            踢            
kid             儿童         
kill            杀            
kind            美好的善良的、种类
king            国王         
kite            风筝         
knife           刀            
knock           敲            
know            知道         
lake            湖泊         
lamp            灯            
language        语言         
large           大的         
last            上一个      
late            万的         
lately          最近、近来
later           之后         
laugh           嘲笑、笑   
lawyer          律师         
lay             放置         
lead            带领         
leader          领导         
learn           学习、学到、学会
leave           离开         
left            左            
leg             腿            
lesson          课程         
let             让            
letter          信、字母   
library         库、图书馆
lie             躺            
life            生命         
light           点亮         
like            喜欢         
limit           限制         
line            线、排      
lion            狮子         
list            目录、清单
listen          听            
little          小            
live            生活、居住
lock            锁            
look            看、看起来
lose            失去         
lost            丢失         
lot             所有，      
loudly          大声地      
lovely          可爱的、美好的
loyal           忠诚的      
lunch           午餐         
make            制造、使得、做
manners         礼仪         
many            许多         
map             地图         
mark            标记         
market          市场         
match           比赛         
math            数学         
matter          事情、麻烦、困难
may             可以         
me              我（宾格)  
mean            意思、意味
meanwhile       同时，期间
meat            肉            
medal           奖牌         
medium          中等的      
meet            预见         
member          成员、会员
menu            菜单         
message         消息         
middle          中间的中等的
might           也许、或许
military        军队         
million         百万         
mind            思想、想法、意识
minus           减            
miss            想念         
mistake         错误、失误
model           模型         
modern          现代的      
monday          周一         
money           钱            
monkey          猴子         
moon            月亮         
more            更多         
moreover        而且，此外
morning         早餐         
most            大多数      
mostly          主要地，通常，多半地
mother          妈妈         
motorbike       摩托车      
motto           格言         
mountain        山            
mouse           老鼠         
mouth           嘴、口      
move            移动         
much            非常，很   
multiply        乘            
museum          博物馆      
music           音乐         
must            必须         
my              我的         
myself          我自己      
nation          国家、地区
nature          自然         
near            附近         
nearly          差不多，几乎，密切地
neck            脖子         
need            需要         
neighbour       邻居         
neither         两者都不   
nest            巢穴         
never           从不、决不
nevertheless    然而，不过，虽然如此
next            下一个      
nice            好的、好看的
night           夜、夜晚   
nine            9              
nineteen        19             
none            一个也没有，无任何东西或人
noon            中午         
north           北方         
nose            鼻子         
not             表示否定，不
notebook        笔记本      
nothing         没有什么，无关紧要的东西
notice          通知         
now             现在         
number          数字         
nut             坚果         
obey            服从         
observe         观察         
obtain          获得         
occur           发生         
of              什么的，表所属关系
off             关、脱离、离开
offer           提供         
office          办公室      
official        官员         
often           经常         
old             老的、旧的
on              在..之上    
once            一次，曾经
one             1              
only            只有         
operate         操作、手术
or              或者         
orange          橙色         
order           顺序         
other           其他的，另外的
otherwise       否则，另外，在其他方面
our             我们的      
out             出现，向外，在室外，遥远地
outdoor         户外         
outer           外面的，外部的，远离中心的
outside         外部，外观，（建筑物等的）周围
over            结束、..上 
overcome        克服         
owne            拥有，承认
ox              公牛         
pack            包装、打包
paint           绘画、粉刷
pair            一对、一双
panda           大熊猫      
parent          父母         
park            公园         
pass            通过、传递
past            过去的，从前的，以往的，刚过去的
path            小路         
pay             付钱         
peace           和平         
people          人们         
percent         百分之、百分数
perform         表演         
pet             宠物         
photo           照片         
physics         物理         
piano           钢琴         
pick            挑选、拾起来
pig             猪            
pill            药片         
pilot           飞行员      
pink            粉色         
plane           飞机         
plant           植物         
play            打、玩      
playground      运动场      
please          请            
pleasure        高兴的愉快的
plus            加            
point           指向、分、点
policeman       警察         
post            投递         
postcard        明星片      
poster          海报         
practice        练习         
prefer          更喜欢      
prepare         准备         
present         礼物、赠品
president       主席、总统、总裁
pretend         假装         
pretty          非常         
prevent         阻止         
previous        以前的，早先的，过早的
primary         主要的、主修的
print           打印         
problem         问题         
produce         生产         
professor       教授         
program         程序         
promise         承诺、保证
promote         提升、促进、升职
protect         保护         
proud           骄傲         
prove           证明、证实
provide         提供         
pull            拉            
push            推            
put             放            
quarter         一刻钟、15分钟
question        问题         
quiet           安静的      
quit            退出         
quite           很，相当，完全
rabbit          兔子         
race            比赛、竞赛
railway         铁路         
rain            雨            
rainy           下雨的、多雨的
raise           提高         
rarely          很少地      
rat             老鼠         
rather          相当         
reach           到达         
read            读            
ready           准备好、就绪
realize         意识到      
really          真的         
rebuild         重建         
receive         接收         
recently        近来         
recover         恢复         
red             红色         
reduce          减少         
register        注册         
relax           放松         
relay           接力         
remain          依然         
remember        记得         
remove          移除         
repair          修理、维修
report          报告         
require         要求         
respect         尊重         
rest            休息         
retire          退休         
return          返回         
review          复习、评论
revise          修订         
rice            米饭         
ride            骑            
right           右、正确   
ring            响铃、环   
rise            上升         
river           河            
road            道路         
robot           机器人      
room            房间         
round           圆的，一轮
rule            规则、纪律
run             跑            
sad             悲伤的、难过的
salt            盐、咸的   
same            相同的      
saturday        星期六      
save            拯救         
say             说            
science         科学         
scratch         抓伤         
season          季、季节   
second          第二         
see             看见         
seed            种子         
seek            寻求         
seem            看起来      
seldom          几乎不      
select          选择         
sell            卖            
send            发送         
sentence        句子         
serious         严肃的      
serve           服务、提供
set             安置         
seven           7              
seventeen       17             
several         几个         
shake           摇            
shall           应，会，将，必须
shame           羞耻、耻辱
share           分享         
shark           鲨鱼         
she             她            
sheep           绵羊         
shelf           架子         
shift           替换、转移
shine           照耀、闪光
ship            船            
shirt           衬衫         
shoe            鞋            
shoes           鞋子         
shoot           射击         
shop            商店         
short           短的         
shouder         肩膀         
should          应该         
shout           喊叫         
show            展示         
shut            关上         
shy             害羞的腼腆的
side            一边         
silk            丝绸的      
silver          银的         
since           自某个时间点..以来
sing            唱歌         
singer          歌手         
sisiter         姐妹         
sit             坐            
six             6              
sixteen         16             
size            大小、尺寸
skip            跳、跳过   
sky             天空         
sleep           睡觉         
slow            慢的         
small           小的         
smart           聪明的智能的
smell           嗅、闻起来
smile           微笑         
smoke           抽烟（动词）
smoking         抽烟         
snake           蛇            
snow            雪            
so              那么         
sofa            沙发         
solve           解决         
some            一些         
sometimes       有时候      
somewhere       在某处，到某处
son             儿子         
song            歌曲         
soon            不久         
sound           声音、听起来
soup            汤            
south           南方         
space           太空         
spaceship       宇宙飞船   
speak           说、讲      
special         特殊的特别的
speed           加速         
spell           拼写         
spend           花费         
sport           运动         
spring          春天         
square          广场         
stadium         体育馆      
stage           舞台         
stairs          楼梯         
stamp           油票         
stand           站立         
star            星星、明星
start           启动、开始
station         车站         
stay            停留、待   
steal           偷            
step            步            
stick           粘贴         
sticky          粘的         
still           仍然         
stone           石头         
stop            停止         
story           故事         
strange         奇怪的      
stream          溪流、小溪
strict          严格的      
strong          强壮的      
study           学习、研究
subway          地铁         
such            如此         
suddenly        突然地，忽然
suggest         建议（动词）
suggestion      建议（名词）
suit            套装         
summer          夏天         
sun             太阳、阳光
sunday          礼拜天      
sunny           阳光的      
supper          晚餐         
supply          补给、供给
support         支持         
sure            当然         
surprise        惊喜的      
sweater         毛衣         
sweep           打扫         
sweet           点心、甜心
swim            游泳         
table           表格、桌子
tail            尾巴         
take            带            
talk            谈话         
tall            高的         
taste           尝起来      
taxi            出租车      
teach           教            
team            队，组      
telephone       电话         
tell            告诉         
ten             十            
terrible        恐怖的      
test            测试、测验、考查
than            比            
that            那个         
the             这，那      
their           他们的，她们的，它们的
them            他们，她们，它们
theme           主题         
themselves      他们自己，他们亲自
then            然后，接着
there           那里         
these           这些         
they            他们，她们，它们
thin            瘦            
thing           事情、事物
think           思考、想、认为
third           第三         
thirteen        13             
this            这个         
those           那些         
thousand        千            
three           3              
through         贯穿，表示从物体内部空间穿过
throw           抛、扔      
thursday        星期四      
thus            因此，从而，这样，如此
thuswise        如此，那样，这样
tick            打钩，对   
tie             领带         
tiger           老虎         
till            直到..为止 
times           乘以         
timetable       时刻表      
tired           疲劳的      
to              到..去       
today           今天         
together        在一起      
toilet          厕所、卫生间
tomato          西红柿      
tomorrow        明天         
tongue          舌头         
tonight         今夜、今晚
too             也、太      
torch           火炬         
total           总额、总数
totally         完全的      
towards         朝，向      
town            城镇         
toy             玩具、玩物
trade           交易         
tradition       传统         
traffic         交通         
train           火车         
trash           废物、垃圾
travel          旅游         
treat           治疗         
tree            树            
trip            旅行         
truck           卡车         
true            真实的，正确的
trunk           树干         
trust           相信、信任
try             尝试、努力
tuesday         星期二      
turn            旋转、变、转向
twelve          十二         
twenty          20             
two             2              
umbrella        伞            
uncle           叔叔         
under           在..正下方 
understand      理解         
unit            单元         
university      大学         
unless          除非，若非
unpack          解包         
until           到......时，直到......为止
up              上、向上   
update          更新         
upon            在......之上，即将来临
upper           上面的，较高的
upset           使心烦      
us              我们         
use             使用、用途
useful          有用的      
usually         通常         
vacation        假期         
vagetable       蔬菜         
vehicle         交通工具   
very            非常，很，完全
village         村庄         
visit           访问         
visitor         访问者      
wait            等待         
wake            醒来         
walk            散步         
want            想要         
war             战争         
warm            暖和的      
was             是，（am、is的过去式）
wash            洗            
washroom        洗手间      
waste           浪费         
watch           观看         
way             路、方法   
wear            穿、戴      
weather         天气         
wednesday       星期三      
weekend         周末         
weigh           称重         
west            西方         
wet             潮湿的      
what            什么         
when            什么时候   
where           哪里         
whereas         然而、鉴于
whether         是否、不论
which           哪一个      
whichever       任何一人、无论哪个
white           白色         
who             谁            
whoever         无论谁      
whole           整个         
whom            谁（宾格）
whose           谁的         
why             为什么      
wife            妻子         
win             赢            
wind            风            
window          窗户         
windy           有风的、多风的
wine            酒            
winter          冬天         
wise            智能的,聪明的
wish            希望、祝愿
with            带、关于、用、和一起
within          在..之内、在..里面
without         离开，没有，不和..在一起
wolf            狼            
wonder          疑问         
wonderful       精彩的极好的
wood            木材         
word            单词、话语
work            工作（名词&动词）
worker          工人         
world           世界         
worry           担心         
write           写            
wrong           错误的、不对的
yellow          黄色         
yesterday       昨天         
yet             还，但是，已经
young           年轻的      
yourself        你自己      
zero            0              
zip             压缩         
zone            区域         
zoo             动物园      
